iter	Passed	Remaining
414	3265	2148
415	3273	2140
416	3282	2133
417	3289	2124
418	3298	2117
419	3308	2110
420	3316	2103
421	3325	2096
422	3334	2089
423	3341	2080
424	3349	2073
425	3357	2065
426	3365	2057
427	3372	2048
428	3380	2040
429	3388	2032
430	3395	2024
431	3402	2016
432	3410	2008
433	3418	2000
434	3426	1992
435	3435	1985
436	3442	1977
437	3450	1969
438	3457	1961
439	3464	1952
440	3473	1945
441	3480	1936
442	3488	1929
443	3496	1921
444	3504	1913
445	3512	1906
446	3520	1897
447	3527	1889
448	3535	1881
449	3542	1873
450	3549	1865
451	3557	1857
452	3564	1848
453	3571	1840
454	3579	1832
455	3586	1824
456	3595	1817
457	3603	1809
458	3611	1801
459	3618	1793
460	3627	1786
461	3635	1778
462	3642	1770
463	3649	1761
464	3657	1753
465	3664	1745
466	3672	1737
467	3680	1730
468	3688	1722
469	3696	1714
470	3703	1706
471	3710	1698
472	3718	1690
473	3727	1683
474	3736	1675
475	3743	1667
476	3750	1659
477	3758	1651
478	3766	1643
479	3775	1635
480	3783	1628
481	3791	1620
482	3799	1612
483	3806	1604
484	3814	1596
485	3821	1588
486	3830	1580
487	3837	1572
488	3845	1565
489	3853	1556
490	3861	1549
491	3869	1541
492	3876	1533
493	3885	1526
494	3897	1519
495	3906	1512
496	3916	1505
497	3926	1498
498	3935	1490
499	3945	1483
500	3952	1475
501	3960	1467
502	3967	1459
503	3975	1451
504	3983	1443
505	3990	1435
506	3998	1427
507	4005	1419
508	4013	1411
509	4020	1403
510	4028	1395
511	4035	1387
512	4042	1379
513	4049	1370
514	4058	1363
515	4066	1355
516	4074	1347
517	4081	1339
518	4089	1331
519	4097	1323
520	4105	1315
521	4113	1308
522	4120	1300
523	4127	1291
524	4136	1284
525	4144	1276
526	4151	1268
527	4159	1260
528	4166	1252
529	4173	1244
530	4180	1236
531	4188	1228
532	4195	1220
533	4203	1212
534	4210	1204
535	4218	1196
536	4226	1188
537	4235	1180
538	4242	1172
539	4250	1165
540	4258	1157
541	4266	1149
542	4273	1141
543	4283	1133
544	4292	1126
545	4300	1118
546	4309	1110
547	4316	1102
548	4324	1094
549	4332	1087
550	4338	1078
551	4345	1070
552	4353	1062
553	4362	1055
554	4370	1047
555	4376	1039
556	4384	1031
557	4392	1023
558	4401	1015
559	4408	1007
560	4415	999
561	4422	991
562	4430	983
563	4437	975
564	4446	968
565	4453	960
566	4462	952
567	4470	944
568	4477	936
569	4485	928
570	4492	920
571	4501	912
572	4508	904
573	4516	896
574	4523	888
575	4530	880
576	4538	873
577	4546	865
578	4552	857
579	4560	849
580	4568	841
581	4576	833
582	4583	825
583	4591	817
584	4598	809
585	4606	801
586	4614	793
587	4621	786
588	4629	778
589	4636	770
590	4644	762
591	4652	754
592	4660	746
593	4667	738
594	4675	730
595	4684	723
596	4692	715
597	4698	707
598	4705	699
599	4713	691
600	4720	683
601	4728	675
602	4736	667
603	4744	659
604	4752	651
605	4759	644
606	4766	636
607	4774	628
608	4782	620
609	4790	612
610	4798	604
611	4806	596
